program_code,program_name,year,course_code,type
MSDA,Master of Statistical Data Analysis,NA,STAT7004,listed
MSDA,Master of Statistical Data Analysis,NA,STAT7038,listed
MSDA,Master of Statistical Data Analysis,NA,STAT7039,listed
MSDA,Master of Statistical Data Analysis,NA,STAT8130,listed
MSDA,Master of Statistical Data Analysis,NA,STAT8140,listed
MSDA,Master of Statistical Data Analysis,NA,STAT8002,listed
MSDA,Master of Statistical Data Analysis,NA,STAT6016,listed
MSDA,Master of Statistical Data Analysis,NA,STAT6017,listed
MSDA,Master of Statistical Data Analysis,NA,STAT6018,listed
MSDA,Master of Statistical Data Analysis,NA,STAT6026,listed
MSDA,Master of Statistical Data Analysis,NA,STAT6027,listed
MSDA,Master of Statistical Data Analysis,NA,STAT6029,listed
MSDA,Master of Statistical Data Analysis,NA,STAT6042,listed
MSDA,Master of Statistical Data Analysis,NA,STAT6050,listed
MSDA,Master of Statistical Data Analysis,NA,STAT6056,listed
MSDA,Master of Statistical Data Analysis,NA,STAT6060,listed
MSDA,Master of Statistical Data Analysis,NA,COMP6240,listed
MSDA,Master of Statistical Data Analysis,NA,COMP6261,listed
MSDA,Master of Statistical Data Analysis,NA,COMP6420,listed
MSDA,Master of Statistical Data Analysis,NA,COMP6490,listed
MSDA,Master of Statistical Data Analysis,NA,COMP6670,listed
MSDA,Master of Statistical Data Analysis,NA,COMP6710,listed
MSDA,Master of Statistical Data Analysis,NA,COMP6730,listed
MSDA,Master of Statistical Data Analysis,NA,COMP8410,listed
MSDA,Master of Statistical Data Analysis,NA,COMP8420,listed
MSDA,Master of Statistical Data Analysis,NA,COMP8430,listed
MSDA,Master of Statistical Data Analysis,NA,COMP8600,listed
MSDA,Master of Statistical Data Analysis,NA,COMP8880,listed
MSDA,Master of Statistical Data Analysis,NA,ECON8013,listed
MSDA,Master of Statistical Data Analysis,NA,EMET8001,listed
MSDA,Master of Statistical Data Analysis,NA,EMET8005,listed
MSDA,Master of Statistical Data Analysis,NA,EMET8008,listed
MSDA,Master of Statistical Data Analysis,NA,EMET8012,listed
MSDA,Master of Statistical Data Analysis,NA,EMET8014,listed
MSDA,Master of Statistical Data Analysis,NA,MATH6005,listed
MSDA,Master of Statistical Data Analysis,NA,MATH6100,listed
MSDA,Master of Statistical Data Analysis,NA,MATH6102,listed
MSDA,Master of Statistical Data Analysis,NA,MATH6109,listed
MSDA,Master of Statistical Data Analysis,NA,MATH6110,listed
MSDA,Master of Statistical Data Analysis,NA,MATH6111,listed
MSDA,Master of Statistical Data Analysis,NA,MATH6112,listed
MSDA,Master of Statistical Data Analysis,NA,MATH6115,listed
MSDA,Master of Statistical Data Analysis,NA,MATH6119,listed
MSDA,Master of Statistical Data Analysis,NA,MATH6208,listed
MSDA,Master of Statistical Data Analysis,NA,MATH6212,listed
MSDA,Master of Statistical Data Analysis,NA,POPH8100,listed
MSDA,Master of Statistical Data Analysis,NA,POPH8101,listed
MSDA,Master of Statistical Data Analysis,NA,POPH8313,listed
MSDA,Master of Statistical Data Analysis,NA,STAT6043,listed
MSDA,Master of Statistical Data Analysis,NA,STAT6046,listed
MSDA,Master of Statistical Data Analysis,NA,STAT6057,listed
MSDA,Master of Statistical Data Analysis,NA,STAT6058,listed
